App ID,State ID,Flow ID,Links,Node Path,Period,Slot,Delay
0,0,0,7 -> 5,A -> D -> C,10,"0, 1, 10, 11, 20, 21, 30, 31, 40, 41","1, 1, 1, 1, 1"
0,0,1,7 -> 5,A -> D -> C,25,"1, 2, 25, 26","1, 1"
0,0,2,0,A -> B,25,"0, 25","0, 0"
0,1,0,3 -> 1 -> 7,C -> B -> A -> D,10,"6, 7, 9, 12, 13, 14, 22, 23, 24, 32, 33, 34, 42, 43, 44","3, 2, 2, 2, 2"
0,1,1,0 -> 2,A -> B -> C,50,"0, 3",3
0,1,2,5 -> 3 -> 1,D -> C -> B -> A,25,"2, 14, 15, 26, 35, 36","13, 10"
0,1,3,5 -> 3 -> 1,D -> C -> B -> A,10,"1, 9, 10, 11, 14, 15, 21, 24, 28, 31, 33, 34, 41, 44, 45","9, 4, 7, 3, 4"
0,1,4,1,B -> A,25,"4, 29","0, 0"
1,0,0,0,A -> B,25,"1, 26","0, 0"
1,0,1,3,C -> B,25,"2, 27","0, 0"
1,0,2,2,B -> C,25,"1, 25","0, 0"
1,0,3,7,A -> D,50,3,0
1,0,4,5 -> 3 -> 1,D -> C -> B -> A,10,"3, 4, 5, 10, 11, 12, 20, 21, 22, 30, 31, 32, 40, 41, 42","2, 2, 2, 2, 2"
1,1,0,5 -> 3,D -> C -> B,10,"3, 4, 10, 11, 20, 21, 30, 31, 40, 41","1, 1, 1, 1, 1"
1,2,0,2 -> 4,B -> C -> D,50,"1, 2",1
1,2,1,3,C -> B,10,"2, 10, 20, 31, 40","0, 0, 0, 0, 0"
1,2,2,5,D -> C,25,"3, 28","0, 0"
1,2,3,6,D -> A,10,"1, 10, 20, 30, 40","0, 0, 0, 0, 0"
2,0,0,3 -> 1 -> 7,C -> B -> A -> D,25,"0, 1, 2, 25, 26, 27","2, 2"
2,0,1,2 -> 4,B -> C -> D,50,"0, 1",1
2,1,0,0 -> 2 -> 4,A -> B -> C -> D,25,"3, 4, 5, 28, 29, 30","2, 2"
3,0,0,5 -> 3 -> 1,D -> C -> B -> A,25,"0, 1, 2, 25, 26, 27","2, 2"
3,1,0,1,B -> A,50,3,0
3,1,1,6,D -> A,50,3,0
3,1,2,1 -> 7 -> 5,B -> A -> D -> C,25,"2, 6, 7, 27, 29, 32","5, 5"
3,1,3,6,D -> A,25,"2, 26","0, 0"
3,2,0,5 -> 3,D -> C -> B,50,"0, 1",1
3,2,1,0 -> 2,A -> B -> C,10,"4, 5, 10, 11, 20, 21, 30, 31, 40, 41","1, 1, 1, 1, 1"
3,2,2,2,B -> C,10,"2, 10, 20, 30, 40","0, 0, 0, 0, 0"
3,3,0,7 -> 5 -> 3,A -> D -> C -> B,10,"6, 7, 8, 11, 12, 13, 21, 22, 23, 32, 33, 34, 41, 42, 43","2, 2, 2, 2, 2"
3,3,1,0 -> 2 -> 4,A -> B -> C -> D,50,"4, 5, 6",2
3,3,2,2 -> 4 -> 6,B -> C -> D -> A,50,"2, 3, 4",2
3,3,3,7,A -> D,50,8,0
4,0,0,0,A -> B,25,"2, 27","0, 0"
4,0,1,1 -> 7 -> 5,B -> A -> D -> C,25,"0, 4, 5, 25, 26, 27","5, 2"
4,0,2,3,C -> B,25,"3, 28","0, 0"
4,0,3,3 -> 1 -> 7,C -> B -> A -> D,25,"5, 6, 7, 29, 30, 31","2, 2"
4,0,4,7 -> 5 -> 3,A -> D -> C -> B,25,"5, 6, 7, 28, 29, 30","2, 2"
4,1,0,6,D -> A,25,"0, 25","0, 0"
