App ID,State ID,Flow ID,Links,Node Path,Period,Slot,Delay
0,0,0,7 -> 5,A -> D -> C,10,"0, 1, 10, 11","1, 1"
0,0,1,7 -> 5,A -> D -> C,20,"1, 2",1
0,0,2,0,A -> B,20,0,0
0,0,3,3 -> 1 -> 7,C -> B -> A -> D,10,"0, 1, 2, 10, 11, 12","2, 2"
0,0,4,0 -> 2,A -> B -> C,20,"1, 2",1
0,1,0,7 -> 5,A -> D -> C,10,"0, 1, 10, 11","1, 1"
0,1,1,0,A -> B,10,"0, 11","0, 0"
1,0,0,0,A -> B,20,3,0
1,0,1,3,C -> B,20,2,0
1,0,2,2,B -> C,20,0,0
1,0,3,7,A -> D,20,4,0
1,0,4,0,A -> B,10,"2, 10","0, 0"
1,0,5,5 -> 3,D -> C -> B,10,"0, 1, 10, 11","1, 1"
1,0,6,6,D -> A,20,0,0
1,0,7,5 -> 3 -> 1,D -> C -> B -> A,20,"3, 4, 5",2
1,0,8,7 -> 5,A -> D -> C,10,"3, 4, 11, 12","1, 1"
1,1,0,5 -> 3 -> 1,D -> C -> B -> A,20,"3, 4, 5",2
1,1,1,2 -> 4 -> 6,B -> C -> D -> A,10,"0, 5, 6, 11, 13, 14","6, 3"
1,1,2,6 -> 0 -> 2,D -> A -> B -> C,20,"5, 7, 8",3
1,1,3,5 -> 3 -> 1,D -> C -> B -> A,10,"0, 1, 2, 10, 11, 12","2, 2"
1,1,4,0,A -> B,10,"2, 10","0, 0"
1,1,5,6 -> 0,D -> A -> B,10,"0, 3, 10, 12","3, 2"
1,1,6,5,D -> C,20,4,0
1,1,7,1 -> 7 -> 5,B -> A -> D -> C,10,"3, 4, 10, 11, 12",7
1,1,8,7 -> 5,A -> D -> C,20,3,
1,1,9,6,D -> A,20,7,0
1,2,0,0 -> 2 -> 4,A -> B -> C -> D,20,"7, 8, 9",2
1,2,1,5 -> 3 -> 1,D -> C -> B -> A,20,"0, 1, 3",3
1,2,2,1 -> 7,B -> A -> D,20,"5, 9",4
1,2,3,1,B -> A,10,"2, 10","0, 0"
1,2,4,0,A -> B,10,"2, 10","0, 0"
1,2,5,0,A -> B,10,"3, 12","0, 0"
1,3,0,6 -> 0,D -> A -> B,10,"0, 2, 10, 12","2, 2"
1,4,0,7 -> 5,A -> D -> C,10,"3, 4, 11, 12","1, 1"
1,5,0,5 -> 3,D -> C -> B,20,"0, 1",1
1,5,1,2,B -> C,10,"0, 11","0, 0"
2,0,0,3 -> 1 -> 7,C -> B -> A -> D,20,"3, 4, 5",2
2,0,1,2 -> 4,B -> C -> D,10,"1, 2, 10, 11","1, 1"
2,0,2,0 -> 2 -> 4,A -> B -> C -> D,20,"4, 5, 6",2
2,0,3,5,D -> C,20,5,0
2,1,0,1 -> 7 -> 5,B -> A -> D -> C,20,"0, 8, 19",19
2,1,1,2 -> 4 -> 6,B -> C -> D -> A,20,"1, 2, 3",2
2,1,2,0 -> 2 -> 4,A -> B -> C -> D,10,"4, 5, 6, 14, 15, 16","2, 2"
2,1,3,7 -> 5 -> 3,A -> D -> C -> B,10,"5, 14, 18, 19",13
2,1,4,5 -> 3,D -> C -> B,20,"5, 6",1
2,2,0,7,A -> D,20,5,0
2,2,1,2 -> 4 -> 6,B -> C -> D -> A,10,"1, 2, 3, 10, 11, 12","2, 2"
2,2,2,4,C -> D,10,"0, 10","0, 0"
2,2,3,6 -> 0 -> 2,D -> A -> B -> C,20,"4, 6, 7",3
2,3,0,4,C -> D,10,"0, 10","0, 0"
2,3,1,7 -> 5 -> 3,A -> D -> C -> B,20,"5, 18, 19",14
2,3,2,1 -> 7 -> 5,B -> A -> D -> C,20,"0, 8, 19",19
2,3,3,4,C -> D,10,"2, 11","0, 0"
2,3,4,3 -> 1,C -> B -> A,20,"3, 4",1
2,3,5,4,C -> D,10,"3, 12","0, 0"
2,3,6,0,A -> B,10,"4, 14","0, 0"
2,3,7,0 -> 2,A -> B -> C,20,"6, 7",1
2,3,8,4,C -> D,20,4,0
2,4,0,4,C -> D,20,0,0
2,4,1,5 -> 3 -> 1,D -> C -> B -> A,20,"18, 19",
2,4,2,6 -> 0 -> 2,D -> A -> B -> C,20,"4, 6, 7",3
2,4,3,1 -> 7,B -> A -> D,20,"0, 5",5
2,4,4,5 -> 3,D -> C -> B,10,"5, 6, 19",1
2,4,5,3 -> 1,C -> B -> A,20,"3, 4",1
2,4,6,2,B -> C,10,"1, 10","0, 0"
2,4,7,7,A -> D,20,8,0
2,4,8,6 -> 0,D -> A -> B,10,"3, 4, 12, 14","1, 2"
3,0,0,5 -> 3 -> 1,D -> C -> B -> A,20,"9, 12, 13",4
3,0,1,5 -> 3 -> 1,D -> C -> B -> A,10,"6, 7, 8, 13, 14, 15","2, 2"
3,0,2,6,D -> A,10,"1, 11","0, 0"
3,0,3,4 -> 6,C -> D -> A,20,"1, 2",1
3,0,4,7 -> 5,A -> D -> C,20,"7, 14",7
3,0,5,5 -> 3,D -> C -> B,10,"7, 8, 15, 16","1, 1"
3,0,6,3 -> 1,C -> B -> A,10,"5, 6, 13, 14","1, 1"
3,0,7,5 -> 3,D -> C -> B,20,"16, 17",1
3,0,8,7 -> 5 -> 3,A -> D -> C -> B,10,"6, 8, 9, 13, 17, 18","3, 5"
3,0,9,0 -> 2 -> 4,A -> B -> C -> D,10,"5, 6, 7, 13, 14, 15","2, 2"
3,1,0,5,D -> C,20,6,0
3,1,1,7 -> 5 -> 3,A -> D -> C -> B,20,"6, 7, 8",2
3,1,2,6 -> 0,D -> A -> B,20,"1, 5",4
